C:\Users\Polar\miniconda3\envs\highway\lib\site-packages\pygame\pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
Zooming DQN on racetrack-v0  init_depth=3  max_depth=6  seed=42  steps=600000
[   5000/600000]  ep= 285  reward(last50)=  39.97  n_actions=8  total_splits=0
[ 455000/600000]  ep=9481  reward(last50)= 517.61  n_actions=64  total_splits=56
[ 460000/600000]  ep=9490  reward(last50)= 536.95  n_actions=64  total_splits=56
[ 465000/600000]  ep=9503  reward(last50)= 453.40  n_actions=64  total_splits=56
[ 470000/600000]  ep=9512  reward(last50)= 447.53  n_actions=64  total_splits=56
[ 475000/600000]  ep=9520  reward(last50)= 477.88  n_actions=64  total_splits=56
[ 480000/600000]  ep=9529  reward(last50)= 480.58  n_actions=64  total_splits=56
[ 485000/600000]  ep=9537  reward(last50)= 483.59  n_actions=64  total_splits=56
[ 490000/600000]  ep=9544  reward(last50)= 535.60  n_actions=64  total_splits=56
[ 495000/600000]  ep=9557  reward(last50)= 510.96  n_actions=64  total_splits=56
[ 500000/600000]  ep=9574  reward(last50)= 399.99  n_actions=64  total_splits=56
[ 505000/600000]  ep=9587  reward(last50)= 392.19  n_actions=64  total_splits=56
[ 510000/600000]  ep=9616  reward(last50)= 226.32  n_actions=64  total_splits=56
[ 515000/600000]  ep=9625  reward(last50)= 226.94  n_actions=64  total_splits=56
[ 520000/600000]  ep=9635  reward(last50)= 258.79  n_actions=64  total_splits=56
[ 525000/600000]  ep=9648  reward(last50)= 287.11  n_actions=64  total_splits=56
[ 530000/600000]  ep=9663  reward(last50)= 376.77  n_actions=64  total_splits=56
[ 535000/600000]  ep=9669  reward(last50)= 429.36  n_actions=64  total_splits=56
[ 540000/600000]  ep=9685  reward(last50)= 399.97  n_actions=64  total_splits=56
[ 545000/600000]  ep=9698  reward(last50)= 376.75  n_actions=64  total_splits=56
[ 550000/600000]  ep=9706  reward(last50)= 397.97  n_actions=64  total_splits=56
[ 555000/600000]  ep=9722  reward(last50)= 321.77  n_actions=64  total_splits=56
[ 560000/600000]  ep=9729  reward(last50)= 375.96  n_actions=64  total_splits=56
[ 565000/600000]  ep=9737  reward(last50)= 430.39  n_actions=64  total_splits=56
[ 570000/600000]  ep=9755  reward(last50)= 386.95  n_actions=64  total_splits=56
[ 575000/600000]  ep=9760  reward(last50)= 439.96  n_actions=64  total_splits=56
[ 580000/600000]  ep=9766  reward(last50)= 468.46  n_actions=64  total_splits=56
[ 585000/600000]  ep=9772  reward(last50)= 547.97  n_actions=64  total_splits=56
[ 590000/600000]  ep=9782  reward(last50)= 515.27  n_actions=64  total_splits=56
[ 595000/600000]  ep=9789  reward(last50)= 517.12  n_actions=64  total_splits=56
[ 600000/600000]  ep=9798  reward(last50)= 599.69  n_actions=64  total_splits=56
Saved DQN checkpoint to checkpoints\highway\timestep_sweep\zooming_d6_seed42.pt

Evaluating (deterministic)...
Eval(20): mean=221.31  std=403.97
Final cubes: 64  total_splits: 56
